STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-05-16,0,",,E",,,60,"H,,S",67,",,E",50,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-05-17,0,",,E",,,64,"H,,S",70,",,E",55,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-05-18,0,",,E",,,65,"H,,S",76,",,E",50,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-05-19,0,",,E",,,60,"H,,S",61,",,E",55,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-05-20,0,",,E",,,54,"H,,S",58,",,E",49,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-05-21,0,",,E",,,56,"H,,S",64,",,E",44,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-05-22,0,",,E",,,60,"H,,S",68,",,E",47,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-05-23,0,",,E",,,63,"H,,S",71,",,E",51,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-05-24,0,",,E",,,65,"H,,S",73,",,E",51,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-05-25,0.01,",,E",,,65,"H,,S",73,",,E",55,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-05-26,0,",,E",,,58,"H,,S",63,",,E",55,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-05-27,0,",,E",,,60,"H,,S",68,",,E",47,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-05-28,0,",,E",,,63,"H,,S",75,",,E",49,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-05-29,0,",,E",,,68,"H,,S",80,",,E",52,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-05-30,0,",,E",,,65,"H,,S",72,",,E",54,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-05-31,0,",,E",,,69,"H,,S",78,",,E",58,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-06-01,0.05,",,E",,,67,"H,,S",78,",,E",58,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-06-02,0,",,E",,,73,"H,,S",83,",,E",61,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-06-03,0,",,E",,,76,"H,,S",84,",,E",62,",,E"
